name,description,price,stock,category,image
"Laptop HP Pavilion 15","Laptop de alta gama con procesador Intel i7, 16GB RAM, 512GB SSD, pantalla 15.6 pulgadas Full HD",450000,10,"Computadoras","https://ejemplo.com/laptop-hp.jpg"
"Mouse Gaming Logitech G502","Mouse inalámbrico para gaming profesional con 25K DPI, RGB personalizable, 11 botones programables",35000,25,"Periféricos","https://ejemplo.com/mouse-logitech.jpg"
"Monitor Samsung 24 pulgadas","Monitor LED Full HD 1920x1080, 75Hz, FreeSync, panel VA, tiempo de respuesta 1ms",85000,15,"Monitores","https://ejemplo.com/monitor-samsung.jpg"
"Teclado Mecánico Corsair K70","Teclado mecánico RGB con switches Cherry MX Red, reposamuñecas magnético, teclas multimedia",55000,20,"Periféricos","https://ejemplo.com/teclado-corsair.jpg"
"Auriculares HyperX Cloud II","Auriculares gaming con sonido envolvente 7.1, micrófono desmontable, cable USB y 3.5mm",28000,30,"Audio","https://ejemplo.com/auriculares-hyperx.jpg"
"Webcam Logitech C920","Webcam Full HD 1080p, autofocus, micrófono integrado, compatible con Windows, Mac y Linux",22000,18,"Periféricos","https://ejemplo.com/webcam-logitech.jpg"
"Disco SSD Samsung 1TB","Disco sólido interno 1TB, velocidad de lectura 3500MB/s, escritura 3300MB/s, SATA III",45000,12,"Almacenamiento","https://ejemplo.com/ssd-samsung.jpg"
"Memoria RAM Kingston 16GB","Memoria RAM DDR4 16GB (2x8GB), 3200MHz, CL16, compatible con Intel y AMD",18000,22,"Componentes","https://ejemplo.com/ram-kingston.jpg"
"Fuente de Poder EVGA 650W","Fuente de poder 650W 80 Plus Gold, modular, ventilador de 135mm, protección completa",32000,8,"Componentes","https://ejemplo.com/fuente-evga.jpg"
"Placa de Video RTX 3060","Placa de video NVIDIA RTX 3060 12GB GDDR6, Ray Tracing, DLSS, ventiladores duales",280000,5,"Componentes","https://ejemplo.com/rtx-3060.jpg"
"Router TP-Link Archer C7","Router WiFi dual band AC1750, 2.4GHz + 5GHz, 3 antenas externas, puerto Gigabit",15000,14,"Redes","https://ejemplo.com/router-tplink.jpg"
"Impresora HP LaserJet Pro","Impresora láser monocromática, velocidad 20 ppm, WiFi, USB, tóner de alta capacidad",95000,7,"Impresoras","https://ejemplo.com/impresora-hp.jpg"
"Tablet Samsung Galaxy Tab A","Tablet 10.1 pulgadas, Android 11, 3GB RAM, 32GB almacenamiento, WiFi + 4G",65000,11,"Tablets","https://ejemplo.com/tablet-samsung.jpg"
"Smartphone Xiaomi Redmi Note","Smartphone 6.67 pulgadas, 128GB, 6GB RAM, cámara 48MP, batería 5000mAh, Android 11",85000,16,"Smartphones","https://ejemplo.com/xiaomi-redmi.jpg"
"Smart TV LG 43 pulgadas","Smart TV 43 pulgadas 4K UHD, webOS, Netflix, YouTube, 3 HDMI, WiFi integrado",120000,9,"TVs","https://ejemplo.com/smart-tv-lg.jpg"